name,sold,original_price,promo_price,store_name,url,img,rating,review
Moony - MOONY 女用粉色游泳褲 L (3片) (平行進口貨),已售出 50+,$ 68.00,$ 35.00,UP TO U,https://www.hktvmall.com/hktv/zh/s/H6589001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/4fd3/df66/30b2/QMbaWfHkKS20230606152604_300.jpg,NA,NA
Pampers  - 【原箱】紙尿褲 大碼 L48 拉拉褲 9-14kg x 3 包 Pampers ichiban 一級幫,已售出 40+,❤新版 ❤,$ 330.00,The One Baby,https://www.hktvmall.com/hktv/zh/exp/H5980001_Redemptionupon99255060v8,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/9140/1cd8/175d/KyWMqlXuVX20230613170203_300.jpg,NA,NA
Pampers  - [原箱] [日本進口]Ichiban安睡褲 L34 大碼學習褲 34片X4包 (平行進口),已售出 40+,新貨到港~特價發售,$ 576.00,彩虹生活百貨,https://www.hktvmall.com/hktv/zh/exp/MMS_RP_H8347001_20230808_00001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/ad19/ecd9/0efb/kCFtxghSzY20220823221140_300.jpg,NA,NA
大王 - (1包) 大王(GOON) 學習褲 XL加大碼 增量裝 (男女共用) (12-20kg) 50片 (平行進口),已售出 40+,$ 188.00,$ 99.00,Express,https://www.hktvmall.com/hktv/zh/s/H6401001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/2a08/a253/007a/qRBlnaXlmP20230704115800_300.png,NA,NA
unicharm - [原箱4包] MOONY NATURAL有機棉 紙尿片 S 細碼58片 (4-8KG) (平行進口),已售出 40+,$ 600.00,$ 485.00,Wonder Babies,https://www.hktvmall.com/hktv/zh/s/H6961001,https://images.hktv-img.com/images/HKTV/22902/4903111241149_main_72237512_20210902122909_01_300.jpg,NA,NA
大王 - [2包] BB紙尿褲超大碼 14條庄 15-35kg【平行進口貨品】,已售出 40+,全店限時閃購⚡只限3日,$ 227.10,令和日本母嬰生活百貨,https://www.hktvmall.com/hktv/zh/s/S2214001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/2e41/4eec/e379/RfEMGjFMHb20211229151035_300.jpg,NA,(1)
大王 - 游泳尿褲(男女共用) XL碼4片裝 (平行進口貨),已售出 40+,4902011860825,$ 45.00,JDH Mall 生活百貨,https://www.hktvmall.com/hktv/zh/s/H9537001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/1adc/7ab6/8d89/crLHgPIFdT20230411143342_300.jpg,NA,NA
HUGGIES - Frozen DryNites女童安睡褲 10片裝 (平行進口),已售出 40+,適合4-7歲,$ 128.00,WONDERFUL MAMA,https://www.hktvmall.com/hktv/zh/s/H9601001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/f515/e6c5/ad48/nVZJoPsfgO20221107074610_300.jpg,NA,NA
Moony - (原箱優惠) 尤妮佳(Moony) 紙尿片 M中碼 56片 x 4包 (平行進口),已售出 40+,平均$117 包,$ 468.00,Express,https://www.hktvmall.com/hktv/zh/s/H6401001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/9826/2455/f371/xBhZswLIUi20221213154906_300.png,NA,NA
Pampers  - 平衡pH值初生嬰兒濕紙巾 (50張) [平行進口],已售出 40+,$ 28.60,$ 26.60,置好價,https://www.hktvmall.com/hktv/zh/s/H9059001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/7fba/84cf/bf37/xWagSdczby20230504152806_300.jpg,NA,NA
